review_text,category
A entrega atrasou demais, tive que ligar 3 vezes.,Logística
O app travou na hora de pagar com o Pix, falha grave.,Bug no App
O motorista foi muito gentil e a comida chegou quente. 5 estrelas!,Positivo
Podiam adicionar pagamento com Vale Refeição, seria ótimo.,Sugestão
Minha pizza chegou errada, veio de calabresa em vez de frango.,Comida Errada
O sistema de rastreio não atualiza, fiquei sem saber onde estava o pedido.,Logística
A experiência foi impecável, adorei a embalagem sustentável.,Positivo
O cupom de desconto sumiu do carrinho, perdi a promoção.,Bug no App
Gostaria que o chat de suporte fosse 24 horas.,Sugestão
A carne estava fria e o refrigerante veio quente.,Comida Errada
